,record_ID,week,store_id,sku_id,total_price,base_price,is_featured_sku,is_display_sku
0,212645,16/07/13,8091,216418,108.3,108.3,0,0
1,212646,16/07/13,8091,216419,109.0125,109.0125,0,0
2,212647,16/07/13,8091,216425,133.95,133.95,0,0
3,212648,16/07/13,8091,216233,133.95,133.95,0,0
4,212649,16/07/13,8091,217390,176.7,176.7,0,0
5,212653,16/07/13,8091,219009,218.7375,218.7375,0,0
6,212654,16/07/13,8091,219029,341.2875,341.2875,0,0
7,212657,16/07/13,8091,223245,233.7,233.7,0,0
8,212658,16/07/13,8091,223153,240.1125,240.1125,0,0
9,212661,16/07/13,8095,216418,109.725,109.725,0,0
10,212662,16/07/13,8095,216419,109.725,109.725,0,0
11,212663,16/07/13,8095,300021,109.0125,109.0125,0,0
12,212666,16/07/13,8095,216425,133.2375,133.2375,0,0
13,212667,16/07/13,8095,216233,133.2375,133.2375,0,0
14,212668,16/07/13,8095,217390,175.9875,175.9875,0,0
15,212671,16/07/13,8095,219844,243.675,359.8125,0,1
16,212672,16/07/13,8095,219009,203.775,203.775,0,0
17,212673,16/07/13,8095,219029,341.2875,341.2875,0,0
18,212674,16/07/13,8095,222087,162.45,224.4375,1,1
19,212675,16/07/13,8095,320485,213.0375,213.0375,0,0
20,212676,16/07/13,8095,378934,213.0375,213.0375,0,1
21,212677,16/07/13,8095,222765,254.3625,254.3625,0,0
22,212678,16/07/13,8095,223245,233.7,233.7,0,0
23,212679,16/07/13,8095,223153,220.875,220.875,0,0
24,212681,16/07/13,8095,245387,355.5375,469.5375,1,0
25,212682,16/07/13,8095,245338,357.675,469.5375,1,0
26,212683,16/07/13,8095,547934,164.5875,164.5875,0,0
27,212686,16/07/13,8094,216418,88.35,86.2125,0,1
28,212687,16/07/13,8094,216419,88.35,83.3625,0,1
29,212688,16/07/13,8094,300021,88.35,88.35,0,0
30,212689,16/07/13,8094,300291,112.575,112.575,0,0
31,212691,16/07/13,8094,216425,127.5375,127.5375,0,0
32,212692,16/07/13,8094,216233,131.8125,131.8125,0,0
33,212693,16/07/13,8094,217390,173.85,173.85,0,0
34,212694,16/07/13,8094,217217,230.85,257.925,0,1
35,212695,16/07/13,8094,217777,235.8375,262.9125,0,1
36,212696,16/07/13,8094,219844,234.4125,260.0625,0,1
37,212697,16/07/13,8094,219009,198.7875,198.7875,0,0
38,212698,16/07/13,8094,219029,327.0375,327.0375,0,0
39,212699,16/07/13,8094,222087,165.3,241.5375,1,1
40,212700,16/07/13,8094,320485,234.4125,234.4125,0,0
41,212701,16/07/13,8094,378934,217.3125,217.3125,0,0
42,212702,16/07/13,8094,222765,239.4,239.4,0,0
43,212703,16/07/13,8094,223245,241.5375,241.5375,0,0
44,212704,16/07/13,8094,223153,235.8375,235.8375,0,0
45,212705,16/07/13,8094,398721,355.5375,462.4125,1,1
46,212706,16/07/13,8094,245387,355.5375,483.7875,1,0
47,212707,16/07/13,8094,245338,356.9625,483.7875,1,1
48,212709,16/07/13,8094,547934,191.6625,191.6625,0,0
49,212710,16/07/13,8094,679023,191.6625,234.4125,0,1
50,212711,16/07/13,8094,546789,191.6625,228.7125,0,1
51,212712,16/07/13,8063,216418,86.2125,87.6375,0,1
52,212713,16/07/13,8063,216419,86.2125,86.2125,0,0
53,212716,16/07/13,8063,216233,134.6625,134.6625,0,0
54,212717,16/07/13,8063,217390,139.65,139.65,0,0
55,212718,16/07/13,8063,217217,229.425,270.0375,0,0
56,212719,16/07/13,8063,217777,231.5625,265.7625,0,0
57,212721,16/07/13,8063,219009,180.975,180.975,0,0
58,212722,16/07/13,8063,219029,309.9375,309.9375,0,0
59,212723,16/07/13,8063,222087,171.0,227.2875,1,1
60,212724,16/07/13,8063,320485,205.9125,205.9125,0,0
61,212725,16/07/13,8063,378934,205.9125,205.9125,0,0
62,212727,16/07/13,8063,222765,239.4,239.4,0,0
63,212728,16/07/13,8063,223245,213.0375,213.0375,0,0
64,212729,16/07/13,8063,223153,212.325,212.325,0,0
65,212731,16/07/13,8063,245387,355.5375,472.3875,1,0
66,212732,16/07/13,8063,245338,355.5375,483.7875,1,1
67,212734,16/07/13,8063,547934,191.6625,191.6625,0,0
68,212735,16/07/13,8063,679023,191.6625,234.4125,0,0
69,212736,16/07/13,8063,546789,195.225,234.4125,0,0
70,212737,16/07/13,8023,216418,109.725,109.725,0,0
71,212738,16/07/13,8023,216419,109.725,109.725,0,1
72,212739,16/07/13,8023,300021,110.4375,110.4375,0,0
73,212740,16/07/13,8023,300291,118.275,118.275,0,0
74,212742,16/07/13,8023,216425,141.075,141.075,0,0
75,212743,16/07/13,8023,216233,139.65,139.65,0,0
76,212744,16/07/13,8023,217390,174.5625,174.5625,0,0
77,212748,16/07/13,8023,219009,215.8875,215.8875,0,0
78,212749,16/07/13,8023,219029,341.2875,341.2875,0,0
79,212750,16/07/13,8023,222087,166.725,211.6125,1,1
80,212751,16/07/13,8023,320485,213.0375,213.0375,0,0
81,212752,16/07/13,8023,378934,213.0375,213.0375,0,0
82,212754,16/07/13,8023,222765,254.3625,254.3625,0,0
83,212755,16/07/13,8023,223245,233.7,233.7,0,0
84,212756,16/07/13,8023,223153,180.975,236.55,0,0
85,212757,16/07/13,8023,398721,361.2375,469.5375,1,1
86,212758,16/07/13,8023,245387,355.5375,469.5375,1,0
87,212759,16/07/13,8023,245338,355.5375,469.5375,1,0
88,212760,16/07/13,8023,600934,533.6625,533.6625,0,0
89,212761,16/07/13,8023,547934,171.0,177.4125,0,1
90,212763,16/07/13,8023,545621,344.1375,344.1375,0,0
91,212764,16/07/13,8058,216418,109.0125,109.0125,0,0
92,212765,16/07/13,8058,216419,109.725,109.0125,0,1
93,212767,16/07/13,8058,216425,141.075,141.075,0,0
94,212768,16/07/13,8058,216233,140.3625,140.3625,0,0
